instrument,innovation,forecast_date,origin_index,error_type,error
BTC-USD,student_t,2024-05-03,1017,GarchFitError,"fit violated GARCH constraints: omega=0.15793616496514734, alpha=0.06512989608771741, beta=0.9348701039127862"
BTC-USD,student_t,2024-05-04,1018,GarchFitError,"fit violated GARCH constraints: omega=0.17127182156650814, alpha=0.06631916708428019, beta=0.9336808329166987"
BTC-USD,student_t,2024-05-05,1019,GarchFitError,"fit violated GARCH constraints: omega=0.1842299035217598, alpha=0.06732961512954308, beta=0.9326703864274066"
BTC-USD,student_t,2024-05-08,1022,GarchFitError,"fit violated GARCH constraints: omega=0.19292579287639477, alpha=0.06854967705899681, beta=0.9314503229946022"
BTC-USD,student_t,2024-05-10,1024,GarchFitError,"fit violated GARCH constraints: omega=0.16385161975956225, alpha=0.06412596275540083, beta=0.9358741891939829"
BTC-USD,student_t,2024-05-11,1025,GarchFitError,"fit violated GARCH constraints: omega=0.16596332694307592, alpha=0.06322920780008118, beta=0.9367707922000134"
BTC-USD,student_t,2024-05-12,1026,GarchFitError,"fit violated GARCH constraints: omega=0.18967842611342578, alpha=0.06580862971475365, beta=0.9341913702859106"
BTC-USD,student_t,2024-05-22,1036,GarchFitError,"fit violated GARCH constraints: omega=0.041951457766218316, alpha=0.038096340634808164, beta=0.9619036595307218"
BTC-USD,student_t,2024-05-24,1038,GarchFitError,"fit violated GARCH constraints: omega=0.03655835083203539, alpha=0.03763075494982481, beta=0.9623692742431437"
BTC-USD,student_t,2024-05-25,1039,GarchFitError,"fit violated GARCH constraints: omega=0.03702784541515011, alpha=0.03786344516378854, beta=0.9621365551778182"
BTC-USD,student_t,2024-05-30,1044,GarchFitError,"fit violated GARCH constraints: omega=0.05392143798059279, alpha=0.04175157534761877, beta=0.9582484246523831"
BTC-USD,student_t,2024-05-31,1045,GarchFitError,"fit violated GARCH constraints: omega=0.05358143552065128, alpha=0.0418081234926139, beta=0.9581918765073861"
BTC-USD,student_t,2024-06-01,1046,GarchFitError,"fit violated GARCH constraints: omega=0.04923987294793015, alpha=0.04121354469588877, beta=0.9587864553041113"
BTC-USD,student_t,2024-06-02,1047,GarchFitError,"fit violated GARCH constraints: omega=0.055924050675621485, alpha=0.04255110146205873, beta=0.9574488985384584"
BTC-USD,student_t,2024-06-04,1049,GarchFitError,"fit violated GARCH constraints: omega=0.10013921935649801, alpha=0.055466105851438505, beta=0.9445338941485616"
BTC-USD,student_t,2024-06-06,1051,GarchFitError,"fit violated GARCH constraints: omega=0.07222686145718726, alpha=0.04999572870448674, beta=0.9500042712955133"
BTC-USD,student_t,2024-06-08,1053,GarchFitError,"fit violated GARCH constraints: omega=0.0634163868218518, alpha=0.047929761470633, beta=0.9520702385293673"
BTC-USD,student_t,2024-06-09,1054,GarchFitError,"fit violated GARCH constraints: omega=0.07058941613014756, alpha=0.04990738443660373, beta=0.9500926155634163"
BTC-USD,student_t,2024-06-11,1056,GarchFitError,"fit violated GARCH constraints: omega=0.06664553267306673, alpha=0.0510800704230703, beta=0.9489199295769297"
BTC-USD,student_t,2024-06-13,1058,GarchFitError,"fit violated GARCH constraints: omega=0.05914692958193947, alpha=0.04782569007530215, beta=0.9521743099246979"
BTC-USD,student_t,2024-06-14,1059,GarchFitError,"fit violated GARCH constraints: omega=0.06314688423900564, alpha=0.04809212557386325, beta=0.9519078744261369"
BTC-USD,student_t,2024-06-15,1060,GarchFitError,"fit violated GARCH constraints: omega=0.06019686262535419, alpha=0.04752468182941779, beta=0.9524753181705823"
BTC-USD,student_t,2024-06-16,1061,GarchFitError,"fit violated GARCH constraints: omega=0.06847965821117996, alpha=0.04972202584527829, beta=0.9502780945782124"
BTC-USD,student_t,2024-06-17,1062,GarchFitError,"fit violated GARCH constraints: omega=0.07004946778270303, alpha=0.0505720705012126, beta=0.9494279295177195"
BTC-USD,student_t,2024-06-18,1063,GarchFitError,"fit violated GARCH constraints: omega=0.0674929407240154, alpha=0.05099472939142044, beta=0.9490052706085802"
BTC-USD,student_t,2024-06-19,1064,GarchFitError,"fit violated GARCH constraints: omega=0.05854665672599445, alpha=0.04814739573505546, beta=0.9518526042649446"
BTC-USD,student_t,2024-06-20,1065,GarchFitError,"fit violated GARCH constraints: omega=0.06248227013406921, alpha=0.049496719081206245, beta=0.9505032809187938"
BTC-USD,student_t,2024-06-21,1066,GarchFitError,"fit violated GARCH constraints: omega=0.06330789841104172, alpha=0.05056458978238262, beta=0.9494354102176173"
BTC-USD,student_t,2024-06-23,1068,GarchFitError,"fit violated GARCH constraints: omega=0.06732490566267167, alpha=0.05214095705333774, beta=0.9478592712045523"
BTC-USD,student_t,2024-06-26,1071,GarchFitError,"fit violated GARCH constraints: omega=0.05993640882648859, alpha=0.04651908517501666, beta=0.9534809148250477"
BTC-USD,student_t,2024-06-27,1072,GarchFitError,"fit violated GARCH constraints: omega=0.055111194737939996, alpha=0.045577578638566096, beta=0.9544237580847356"
BTC-USD,student_t,2024-06-30,1075,GarchFitError,"fit violated GARCH constraints: omega=0.05075280772855392, alpha=0.047221176341816634, beta=0.9527788236584879"
BTC-USD,student_t,2024-07-01,1076,GarchFitError,"fit violated GARCH constraints: omega=0.052946006375836525, alpha=0.046545024614890525, beta=0.9534549755996664"
BTC-USD,student_t,2024-07-02,1077,GarchFitError,"fit violated GARCH constraints: omega=0.06280656700293771, alpha=0.049175283227351665, beta=0.9508247167843253"
BTC-USD,student_t,2024-07-03,1078,GarchFitError,"fit violated GARCH constraints: omega=0.05518957628171749, alpha=0.0475752004207891, beta=0.952424799579211"
BTC-USD,student_t,2024-07-04,1079,GarchFitError,"fit violated GARCH constraints: omega=0.05251426309068645, alpha=0.04584464540532814, beta=0.9541553545947301"
BTC-USD,student_t,2024-07-05,1080,GarchFitError,"fit violated GARCH constraints: omega=0.05644539159619262, alpha=0.04527539178297503, beta=0.9547246082173501"
BTC-USD,student_t,2024-07-07,1082,GarchFitError,"fit violated GARCH constraints: omega=0.05373346670715981, alpha=0.04424316452868179, beta=0.955756835631785"
BTC-USD,student_t,2024-07-09,1084,GarchFitError,"fit violated GARCH constraints: omega=0.05973266614236646, alpha=0.04511931250437556, beta=0.954880687521301"
BTC-USD,student_t,2024-07-10,1085,GarchFitError,"fit violated GARCH constraints: omega=0.054524397383989905, alpha=0.04433284795477237, beta=0.9556671520475986"
BTC-USD,student_t,2024-07-11,1086,GarchFitError,"fit violated GARCH constraints: omega=0.053679224065910774, alpha=0.044041217400809025, beta=0.955958782599196"
BTC-USD,student_t,2024-07-13,1088,GarchFitError,"fit violated GARCH constraints: omega=0.05163891246278323, alpha=0.043968257277718865, beta=0.956031742722292"
BTC-USD,student_t,2024-07-15,1090,GarchFitError,"fit violated GARCH constraints: omega=0.05214761248828524, alpha=0.04471568405808156, beta=0.9552843159419184"
BTC-USD,student_t,2024-07-18,1093,GarchFitError,"fit violated GARCH constraints: omega=0.05702882443734443, alpha=0.045330292179416344, beta=0.9546697103467257"
BTC-USD,student_t,2024-07-20,1095,GarchFitError,"fit violated GARCH constraints: omega=0.06255330575604764, alpha=0.04841670547108393, beta=0.9515832945289161"
BTC-USD,student_t,2024-07-22,1097,GarchFitError,"fit violated GARCH constraints: omega=0.05760974643886306, alpha=0.04480627462962233, beta=0.9551937253703777"
BTC-USD,student_t,2024-07-23,1098,GarchFitError,"fit violated GARCH constraints: omega=0.05997077285499265, alpha=0.04609571008000359, beta=0.9539042899199965"
BTC-USD,student_t,2024-07-24,1099,GarchFitError,"fit violated GARCH constraints: omega=0.0650787077433409, alpha=0.04810838963902847, beta=0.9518916103609716"
